contract_symbol,date,open,high,low,close,volume,open_interest,month_of_expiration,ticker,expiration_date
BRT_1,15/08/2016,47.13999939,47.13999939,47.13999939,47.13999939,47.13999939,47.13999939,Oct-16,COV16,31/08/2016
BRT_1,16/08/2016,48.22000122,48.22000122,48.22000122,48.22000122,48.22000122,48.22000122,Oct-16,COV16,31/08/2016
BRT_1,17/08/2016,48.88000107,48.88000107,48.88000107,48.88000107,48.88000107,48.88000107,Oct-16,COV16,31/08/2016
BRT_1,18/08/2016,49.75999832,49.75999832,49.75999832,49.75999832,49.75999832,49.75999832,Oct-16,COV16,31/08/2016
BRT_1,19/08/2016,50.95999908,50.95999908,50.95999908,50.95999908,50.95999908,50.95999908,Oct-16,COV16,31/08/2016
BRT_1,22/08/2016,50.70000076,50.70000076,50.70000076,50.70000076,50.70000076,50.70000076,Oct-16,COV16,31/08/2016
BRT_1,23/08/2016,49.04000092,49.04000092,49.04000092,49.04000092,49.04000092,49.04000092,Oct-16,COV16,31/08/2016
BRT_1,24/08/2016,49.56999969,49.56999969,49.56999969,49.56999969,49.56999969,49.56999969,Oct-16,COV16,31/08/2016
BRT_1,25/08/2016,49.02999878,49.02999878,49.02999878,49.02999878,49.02999878,49.02999878,Oct-16,COV16,31/08/2016
BRT_1,26/08/2016,49.65999985,49.65999985,49.65999985,49.65999985,49.65999985,49.65999985,Oct-16,COV16,31/08/2016
BRT_1,29/08/2016,49.54000092,49.54000092,49.54000092,49.54000092,49.54000092,49.54000092,Oct-16,COV16,31/08/2016
BRT_1,30/08/2016,49.25,49.25,49.25,49.25,49.25,49.25,Oct-16,COV16,31/08/2016
BRT_1,31/08/2016,48.29000092,48.29000092,48.29000092,48.29000092,48.29000092,48.29000092,Oct-16,COV16,31/08/2016
BRT_1,01/09/2016,46.97999954,46.97999954,46.97999954,46.97999954,46.97999954,46.97999954,Nov-16,COX16,30/09/2016
BRT_1,02/09/2016,45.79000092,45.79000092,45.79000092,45.79000092,45.79000092,45.79000092,Nov-16,COX16,30/09/2016
BRT_1,05/09/2016,46.70000076,46.70000076,46.70000076,46.70000076,46.70000076,46.70000076,Nov-16,COX16,30/09/2016
BRT_1,06/09/2016,47.43000031,47.43000031,47.43000031,47.43000031,47.43000031,47.43000031,Nov-16,COX16,30/09/2016
BRT_1,07/09/2016,47.20000076,47.20000076,47.20000076,47.20000076,47.20000076,47.20000076,Nov-16,COX16,30/09/2016
BRT_1,08/09/2016,48.54999924,48.54999924,48.54999924,48.54999924,48.54999924,48.54999924,Nov-16,COX16,30/09/2016
BRT_1,09/09/2016,49.63000107,49.63000107,49.63000107,49.63000107,49.63000107,49.63000107,Nov-16,COX16,30/09/2016
BRT_1,12/09/2016,47.81000137,47.81000137,47.81000137,47.81000137,47.81000137,47.81000137,Nov-16,COX16,30/09/2016
BRT_1,13/09/2016,48.16999817,48.16999817,48.16999817,48.16999817,48.16999817,48.16999817,Nov-16,COX16,30/09/2016
BRT_1,14/09/2016,47.33000183,47.33000183,47.33000183,47.33000183,47.33000183,47.33000183,Nov-16,COX16,30/09/2016
BRT_1,15/09/2016,46.06000137,46.06000137,46.06000137,46.06000137,46.06000137,46.06000137,Nov-16,COX16,30/09/2016
BRT_1,16/09/2016,46.31000137,46.31000137,46.31000137,46.31000137,46.31000137,46.31000137,Nov-16,COX16,30/09/2016
BRT_1,19/09/2016,46.00999832,46.00999832,46.00999832,46.00999832,46.00999832,46.00999832,Nov-16,COX16,30/09/2016
BRT_1,20/09/2016,45.90999985,45.90999985,45.90999985,45.90999985,45.90999985,45.90999985,Nov-16,COX16,30/09/2016
BRT_1,21/09/2016,46.45000076,46.45000076,46.45000076,46.45000076,46.45000076,46.45000076,Nov-16,COX16,30/09/2016
BRT_1,22/09/2016,46.99000168,46.99000168,46.99000168,46.99000168,46.99000168,46.99000168,Nov-16,COX16,30/09/2016
